,id,Year,Name,Duration,Genre,Rating,Votes,Director,Actor 1,Actor 2,Actor 3
121,157,2019,72 Hours: Martyr Who Never Died,130 min,"Action, Biography, Drama",5.3,249,Avinash Dhyani,Avinash Dhyani,Yeshi Dema,Alka Amin
5258,158,2019,Gully Boy,154 min,"Drama, Music, Romance",8,33901,Zoya Akhtar,Vijay Varma,Nakul Roshan Sahdev,Ranveer Singh
5834,159,2019,Hum Chaar,143 min,Drama,5.7,286,Abhishek Dixit,Prit Kamani,Simran Sharma,Anshuman Malhotra
2448,160,2019,Blank,107 min,"Action, Thriller",6.2,933,Behzad Khambata,Sunny Deol,Karan Kapadia,Karanvir Sharma
6833,161,2019,Judgementall Hai Kya,121 min,"Comedy, Drama, Mystery",5.9,5419,Prakash Kovelamudi,Kangana Ranaut,Rajkummar Rao,Amyra Dastur
14259,162,2019,The Tashkent Files,134 min,"Drama, Mystery, Thriller",7.8,9579,Vivek Agnihotri,Shweta Basu Prasad,Mithun Chakraborty,Naseeruddin Shah
10941,163,2019,Praana,107 min,"Crime, Drama, Horror",8.3,793,V.K. Prakash,Nithya Menen,,
14141,164,2019,The Last Color,90 min,Drama,7.9,778,Vikas Khanna,Anuj Tyagi,Vajid Ali,Ankita
15283,165,2019,Yeh Saali Aashiqui,137 min,"Drama, Romance, Thriller",8,3265,Cherag Ruparel,Vardhan Puri,Shivaleeka Oberoi,Ruslaan Mumtaz
4177,166,2019,Dream Girl,132 min,"Comedy, Romance",7,12276,Raaj Shaandilyaa,Ayushmann Khurrana,Nushrat Bharucha,Annu Kapoor
11705,167,2019,Ramprasad Ki Tehrvi,115 min,"Comedy, Drama",7.6,3574,Seema Bhargava,Manoj Pahwa,Deepika Amin,Ninad Kamat
5971,168,2019,"I Am Alone, So Are You...",117 min,Romance,6.5,897,Harish Vyas,Anshuman Jha,Zareen Khan,Ravi Khanvilkar
3002,169,2019,Chhota Bheem Kung Fu Dhamaka,97 min,"Animation, Action, Adventure",5.2,119,Rajiv Chilaka,Binayak Das,Urvi Ashar,Asif Ali Beig
13365,170,2019,Sonchiriya,143 min,"Action, Crime, Drama",8.1,9572,Abhishek Chaubey,Sushant Singh Rajput,Bhumi Pednekar,Ashutosh Rana
2634,171,2019,Bypass Road,137 min,"Drama, Mystery, Thriller",5.4,890,Naman Nitin Mukesh,Neil Nitin Mukesh,Adah Sharma,Gul Panag
10271,172,2019,Notebook,115 min,"Drama, Romance",6.9,2253,Nitin Kakkar,Zaheer Iqbal,Pranutan Bahl,Mir Mohammed Mehroos
5164,173,2019,Good Newwz,134 min,Comedy,6.9,15644,Raj Mehta,Akshay Kumar,Kareena Kapoor,Diljit Dosanjh
4091,174,2019,Dolly Kitty and Those Twinkling Stars,126 min,"Comedy, Drama",5.4,4755,Alankrita Shrivastava,Konkona Sen Sharma,Bhumi Pednekar,Amol Parashar
6899,175,2019,Junglee,115 min,"Action, Adventure, Thriller",5.6,1658,Chuck Russell,Vidyut Jammwal,Lars Kjeldsen,Asha Bhat
8913,176,2019,Marudhar Express,106 min,"Drama, Romance",6.1,554,Vishal Mishra,Kunaal Roy Kapur,Tara-Alisha Berry,Rajesh Sharma
133,177,2019,99 Songs,128 min,"Musical, Romance",7.4,1901,Vishwesh Krishnamoorthy,Ehan Bhat,Edilsy Vargas,Tenzing Dalha
10276,178,2019,NTR Kathanayakudu,169 min,"Biography, Drama",5.6,1866,Radha Krishna Jagarlamudi,Nandamuri Balakrishna,Vidya Balan,Satyanarayana Kaikala
14997,179,2019,War,154 min,"Action, Adventure, Thriller",6.5,20894,Siddharth Anand,Hrithik Roshan,Tiger Shroff,Vaani Kapoor
8749,180,2019,Malaal,136 min,"Action, Drama, Romance",6,850,Mangesh Hadawale,Meezaan Jafri,Sharmin Segal,Chinmayee Surve
1645,181,2019,Badnaam Gali,95 min,Comedy,7.1,805,Ashwin Shetty,Patralekhaa Paul,Divyendu Sharma,Dolly Ahluwalia
3213,182,2019,Commando 3,133 min,"Action, Adventure, Thriller",5.7,2425,Aditya Datt,Vidyut Jammwal,Adah Sharma,Gulshan Devaiah
10216,183,2019,Nirvana Inn,95 min,Mystery,5.9,200,Vijay Jayapal,Adil Hussain,Rajshri Deshpande,Sandhya Mridul
5159,184,2019,Gone Kesh,110 min,"Comedy, Drama",7,1222,Qasim Khallow,Shweta Tripathi,Alisha,Deepika Amin
12092,185,2019,Saand Ki Aankh,146 min,"Biography, Drama",7.7,4210,Tushar Hiranandani,Taapsee Pannu,Bhumi Pednekar,Prakash Jha
3062,186,2019,Chippa,90 min,Drama,6.5,941,Safdar Rahman,Sunny Pawar,Mala Mukherjee,Surojit
10469,187,2019,Pailwaan,166 min,"Action, Drama, Sport",6.4,1671,S Krishna,Sunil Shetty,Sudeep,Sushant Singh
10965,188,2019,Prassthanam,141 min,"Action, Drama",5.9,1265,Deva Katta,Sanjay Dutt,Jackie Shroff,Ali Fazal
15066,189,2019,Why Cheat India,121 min,"Crime, Drama",6,2442,Soumik Sen,Emraan Hashmi,Shreya Dhanwanthary,Snighdadeep Chatterji
6494,190,2018,Jalebi,112 min,"Drama, Romance",6,2479,Pushpdeep Bhardwaj,Rhea Chakraborty,Varun Mitra,Digangana Suryavanshi
8073,191,2018,Laila Majnu,140 min,"Drama, Romance",7.8,2701,Sajid Ali,Avinash Tiwary,Tripti Dimri,Sumit Kaul
2254,192,2018,Bhonsle,128 min,Drama,7,1257,Devashish Makhija,Manoj Bajpayee,Santosh Juvekar,Ipshita Chakraborty Singh
5508,193,2018,Har Kisse Ke Hisse: Kaamyaab,109 min,Drama,7.9,3781,Hardik Mehta,Sanjay Mishra,Deepak Dobriyal,Sarika Singh
5412,194,2018,Halkaa,114 min,"Drama, Family",7.2,378,Nila Madhab Panda,Ranvir Shorey,Paoli Dam,Aryan Preet
11883,195,2018,Reva,159 min,Drama,8.4,692,Rahul Bhole,Vinit Kanojia,Bhairavi Athavle,Abhinay Banker
8338,196,2018,Love Per Square Foot,133 min,"Comedy, Romance",7.2,7588,Anand Tiwari,Vicky Kaushal,Angira Dhar,Alankrita Sahai
9964,197,2018,Nanu Ki Jaanu,133 min,"Comedy, Drama, Horror",5.9,954,Faraz Haider,Abhay Deol,Patralekhaa Paul,Rajesh Sharma
2201,198,2018,Bhavesh Joshi Superhero,154 min,"Action, Crime, Drama",7.6,7479,Vikramaditya Motwane,Harshvardhan Kapoor,Priyanshu Painyuli,Ashish Verma
4573,199,2018,Evening Shadows,102 min,Drama,7.1,472,Sridhar Rangayan,Mona Ambegaonkar,Ananth Narayan Mahadevan,Devansh Doshi
4991,200,2018,Genius,165 min,"Action, Thriller",5.3,1823,Anil Sharma,Utkarsh Sharma,Ishita Chauhan,Mithun Chakraborty
6969,201,2018,Kaala,162 min,"Action, Drama",6.7,8163,Pa. Ranjith,Rajinikanth,Nana Patekar,Samuthirakani
10331,202,2018,Once Again,101 min,"Drama, Romance",7,869,Kanwal Sethi,Shefali Shah,Neeraj Kabi,Bidita Bag
10804,203,2018,Phir Se...,118 min,Romance,5.4,206,Ajay Bhuyan,Kunal Kohli,Dalip Tahil,Jennifer Winget
13380,204,2018,Sonu Ke Titu Ki Sweety,138 min,"Comedy, Romance",7.1,20000,Luv Ranjan,Kartik Aaryan,Nushrat Bharucha,Sunny Singh Nijjar
11507,205,2018,Raid,122 min,"Action, Crime, Drama",7.4,15835,Raj Kumar Gupta,Ajay Devgn,Ileana D'Cruz,Amit Bimrot
744,206,2018,Aiyaary,157 min,"Action, Drama, Thriller",5.3,4167,Neeraj Pandey,Sidharth Malhotra,Manoj Bajpayee,Rakul Preet Singh
1513,207,2018,Baarish Aur Chowmein,48 min,Drama,6.1,271,Tigmanshu Dhulia,Amit Sadh,Taapsee Pannu,Tariq Naved Siddiqui
192,208,2018,Aadamkhor,72 min,Horror,7.4,150,Kshitij Sharma,Deeya Dey,Anoma Pabuwal,Mahendra Singh Rawat
14525,209,2018,Tumbbad,104 min,"Drama, Fantasy, Horror",8.3,32920,Rahi Anil Barve,Anand Gandhi,Adesh Prasad,Sohum Shah
5646,210,2018,Helicopter Eela,135 min,Drama,5.6,1042,Pradeep Sarkar,Kajol,Riddhi Sen,Tota Roy Chowdhury
6005,211,2018,Idam Jagath,126 min,"Action, Thriller",5.4,115,Anil Srikantam,Sumanth,Anju Kurian,Darbha Appaji Ambarisha
9740,212,2018,My Birthday Song,95 min,Thriller,5.5,258,Samir Soni,Nora Fatehi,Elena Kazan,Suparna Moitra
2303,213,2018,Bhor: Dawn,93 min,Drama,7.8,147,Kamakhya Narayan Singh,Devesh Ranjan,Saveree Gaur,Nalneesh Neel
10297,214,2018,October,115 min,"Drama, Romance",7.5,14013,Shoojit Sircar,Varun Dhawan,Banita Sandhu,Gitanjali Rao
14041,215,2018,The Dark Side of Life: Mumbai City,125 min,Drama,5.9,478,Tariq Khan,Avii,Mahesh Bhatt,Sayed Gul
4543,216,2018,Ekkees Tareekh Shubh Muhurat,97 min,Drama,5.7,394,Pavan Kumar,Sanjay Mishra,Mahesh Sharma,Kajal Jain
15426,217,2018,Zero,164 min,"Comedy, Drama, Romance",5.4,24784,Aanand L. Rai,Shah Rukh Khan,Anushka Sharma,Katrina Kaif
78,218,2018,3 Storeys,100 min,Drama,6.9,358,Arjun Mukerjee,Aisha Ahmed,Tarun Anand,Richa Chadha
5143,219,2018,GOLD,151 min,"Drama, History, Sport",7.3,11932,Reema Kagti,Akshay Kumar,Mouni Roy,Kunal Kapoor
8466,220,2018,Maassab (The Teacher),116 min,Drama,8.6,155,Aditya Om,Shiva Suryavanshi,Sheetal Singh,Manveer Choudhary
11448,221,2018,Raazi,138 min,"Action, Drama, Thriller",7.8,26557,Meghna Gulzar,Alia Bhatt,Vicky Kaushal,Rajit Kapoor
7476,222,2018,Khajoor Pe Atke,119 min,Comedy,5.6,221,Harsh Chhaya,Vinay Pathak,Suneeta Sengupta,Alka Amin
11148,223,2018,Purdah,71 min,"Documentary, Drama, Sport",8.1,276,Jeremy Guy,,,
14714,224,2018,Vada Chennai,164 min,"Action, Crime, Drama",8.5,13120,Vetrimaaran,Dhanush,Ameer Sultan,Radha Ravi
2594,225,2018,Bulbul Can Sing,95 min,Drama,6.8,323,Rima Das,Pakija Begam,Arnali Das,Manabendra Das
12400,226,2018,Sanju,155 min,"Biography, Comedy, Drama",7.7,49199,Rajkumar Hirani,Ranbir Kapoor,Paresh Rawal,Manisha Koirala
11594,227,2018,Rajma Chawal,117 min,"Comedy, Drama, Family",5.8,1698,Leena Yadav,Amyra Dastur,Rishi Kapoor,Sheeba Chaddha
14383,228,2018,Tony: My Mentor the Serial Killer,124 min,Thriller,7.9,485,Vipul K. Rawal,Mahesh Jilowa,Yashodhan Rana,Manoj Chandila
5692,229,2018,High Jack,102 min,Comedy,5.4,303,Akarsh Khurana,Sumeet Vyas,Mantra Mugdh,Sonnalli Seygall
5457,230,2018,Hamid,108 min,Drama,7.8,1055,Aijaz Khan,Talha Arshad Reshi,Vikas Kumar,Rasika Dugal
176,231,2018,AA BB KK,121 min,Drama,8,249,Ramkumar Shedge,Shravani Abhang,Sajid Ali,Tamannaah Bhatia
13217,232,2018,Silvat,45 min,"Drama, Romance",7.1,168,Tanuja Chandra,Kartik Aaryan,Amal Farooque,Maaman Memon
10432,233,2018,Padmaavat,164 min,"Drama, History, Romance",7,28573,Sanjay Leela Bhansali,Deepika Padukone,Ranveer Singh,Shahid Kapoor
11827,234,2018,Reason,261 min,Documentary,9.1,125,Anand Patwardhan,,,
2445,235,2018,Blackmail,138 min,"Comedy, Thriller",7.1,9671,Abhinay Deo,Irrfan Khan,Kirti Kulhari,Urmila Matondkar
54,236,2018,2,148 min,"Action, Sci-Fi",6.2,21938,S. Shankar,Rajinikanth,Akshay Kumar,Amy Jackson
13386,237,2018,Soorma,131 min,"Biography, Drama, Sport",7.4,4648,Shaad Ali,Diljit Dosanjh,Taapsee Pannu,Angad Bedi
1919,238,2018,Batti Gul Meter Chalu,161 min,Drama,6,4685,Shree Narayan Singh,Shahid Kapoor,Shraddha Kapoor,Divyendu Sharma
14926,239,2018,Vishwaroopam 2,145 min,"Action, Thriller",5.9,2314,Kamal Haasan,Kamal Haasan,Rahul Bose,Shekhar Kapur
1600,240,2018,Badhaai Ho,124 min,"Comedy, Drama",8,29518,Amit Ravindernath Sharma,Ayushmann Khurrana,Neena Gupta,Gajraj Rao
13225,241,2018,Simmba,158 min,"Action, Comedy, Crime",5.6,15244,Rohit Shetty,Sam Nagar,Ranveer Singh,Sara Ali Khan
15062,242,2018,Who,153 min,"Mystery, Sci-Fi",5.1,260,Ajay Devaloka,Sajin Saleem,Akhil,Arjun
10599,243,2018,Pari,136 min,"Fantasy, Horror, Mystery",6.6,5900,Prosit Roy,Anushka Sharma,Parambrata Chattopadhyay,Rajat Kapoor
7452,244,2018,Kedarnath,116 min,"Drama, Romance",6.9,11446,Abhishek Kapoor,Sushant Singh Rajput,Sara Ali Khan,Nitish Bharadwaj
5484,245,2018,Hanuman vs. Mahiravana,91 min,Animation,6.9,103,Ezhil Vendan,Rajesh Jolly,,
13376,246,2018,Soni,97 min,"Crime, Drama",7.2,2528,Ivan Ayr,Geetika Vidya Ohlyan,Saloni Batra,Vikas Shukla
13262,247,2018,Sir,99 min,"Drama, Romance",7.7,5461,Rohena Gera,Tillotama Shome,Vivek Gomber,Geetanjali Kulkarni
15312,248,2018,Yours Truly,84 min,Drama,5.9,102,Sanjoy Nag,Soni Razdan,Aahana Kumra,Pankaj Tripathi
10621,249,2018,Parmanu: The Story of Pokhran,129 min,"Action, Drama, History",7.6,21773,Abhishek Sharma,John Abraham,Boman Irani,Diana Penty
14372,250,2018,Toba Tek Singh,75 min,"Drama, History",6.9,118,Ketan Mehta,Pankaj Kapur,Vinay Pathak,N.K. Pant
5949,251,2018,Husband Material,156 min,"Comedy, Drama, Romance",6.9,7441,Anurag Kashyap,Taapsee Pannu,Abhishek Bachchan,Vicky Kaushal
8385,252,2018,Lupt,110 min,"Horror, Thriller",5.6,2027,Prabhuraj,Javed Jaffrey,Niki Walia,Vijay Raaz
9633,253,2018,Mulk,140 min,Drama,6.9,14156,Anubhav Sinha,Taapsee Pannu,Rishi Kapoor,Neena Gupta
3288,254,2018,Daas Dev,140 min,"Drama, Thriller",5.1,257,Sudhir Mishra,Yogesh Raj Mishra,Rahul Bhatt,Richa Chadha
14940,255,2018,Vodka Diaries,120 min,"Mystery, Thriller",5.6,1287,Kushal Srivastava,Kay Kay Menon,Raima Sen,Mandira Bedi
13527,256,2018,Sui Dhaaga,122 min,"Comedy, Drama",6.8,7421,Sharat Katariya,Anushka Sharma,Varun Dhawan,Raghuvir Yadav
12002,257,2018,Roshni,45 min,"Documentary, Family",6.2,186,Anshul Adhikari,Nazneen Bhatia,Roshni,Vandana Shiva
9284,258,2018,Meri Nimmo,90 min,Drama,7.1,283,Rahul Shanklya,Anjali Patil,Karan Dave,Aryan Mishra
10500,259,2018,Paltan,150 min,"Action, Drama, History",5.3,939,J.P. Dutta,Jackie Shroff,Arjun Rampal,Sonu Sood
8885,260,2018,Mard Ko Dard Nahin Hota,134 min,"Action, Comedy",7.4,6647,Vasan Bala,Abhimanyu Dasani,Radhika Madan,Mahesh Manjrekar
8360,261,2018,Lovefucked,106 min,"Drama, Romance",6,365,Aadish Keluskar,Himanshu Kohli,Rohit Kokate,Khushboo Upadhyay
14661,262,2018,Uri: The Surgical Strike,138 min,"Action, Drama, War",8.2,45981,Aditya Dhar,Vicky Kaushal,Paresh Rawal,Mohit Raina
14325,263,2018,Three and a Half,121 min,Drama,6.6,228,Dar Gai,Dheer Momaya,Arya Dave,Chandani Grover
5688,264,2018,Hichki,116 min,"Comedy, Drama",7.5,11094,Siddharth Malhotra,Asif Basra,Rani Mukerji,Neeraj Kabi
14720,265,2018,Vaibhav Sethia: Don't,61 min,Comedy,6.9,187,Manu Prakash Singh,Vaibhav Sethia,,
8866,266,2018,Manto,112 min,"Biography, Drama",7.4,3929,Nandita Das,Nawazuddin Siddiqui,Rasika Dugal,Tahir Raj Bhasin
4912,267,2018,Gaon,124 min,Drama,5.3,106,Gautam Singh,Shadab Kamal,Neha Mahajan,Dibyendu Bhattacharya
10428,268,2018,Pad Man,140 min,"Comedy, Drama",7.9,22611,R. Balki,Akshay Kumar,Radhika Apte,Sonam Kapoor
6976,269,2018,Kaalakaandi,112 min,"Comedy, Thriller",6.3,2612,Akshat Verma,Saif Ali Khan,Asif Basra,Neil Bhoopalam
7894,270,2018,Kuchh Bheege Alfaaz,116 min,Romance,7.5,820,Onir,Geetanjali Thapa,Zain Khan Durrani,Shray Rai Tiwari
7025,271,2018,Kaashi in Search of Ganga,125 min,Thriller,5.4,259,Dhiraj Kumar,Prince Adhikari,Aishwarya Devan,Kranti Prakash Jha
5792,272,2018,Hotel Mumbai,123 min,"Action, Drama, History",7.6,56048,Anthony Maras,Dev Patel,Armie Hammer,Nazanin Boniadi
8190,273,2018,Leera the Soulmate,104 min,Sci-Fi,6.3,1624,Sumnash Sri Kaljai,Mehul Adwani,Leera Kaljai,
1524,274,2018,Baazaar,137 min,"Crime, Drama, Thriller",6.6,4831,Gauravv K. Chawla,Radhika Apte,Saif Ali Khan,Chitrangda Singh
5771,275,2018,Hope Aur Hum,96 min,"Comedy, Drama, Family",6.3,414,Sudip Bandyopadhyay,Naseeruddin Shah,Kabir Sajid,Virti Vaghani
10248,276,2018,Noblemen,108 min,Drama,5.8,221,Vandana Kataria,Kunal Kapoor,Ali Haji,Mohammed Ali Mir
5684,277,2018,Hey Ram Hamne Gandhi Ko maar Diya,106 min,Drama,6.3,166,Naeem Siddiqui,Jatin Goswami,Samiksha Bhatnagar,Subrat Dutta
15,278,2018,102 Not Out,102 min,"Comedy, Drama",7.4,6619,Umesh Shukla,Amitabh Bachchan,Rishi Kapoor,Vijay Raaz
13464,279,2018,Stree,128 min,"Comedy, Horror",7.6,29900,Amar Kaushik,Rajkummar Rao,Shraddha Kapoor,Pankaj Tripathi
1476,280,2018,Baa Baaa Black Sheep,103 min,"Action, Comedy, Crime",6.4,446,Vishwas Paandya,Anupam Kher,Annu Kapoor,Manish Paul
7355,281,2018,Karwaan,114 min,"Adventure, Comedy, Drama",7.6,13986,Akarsh Khurana,Irrfan Khan,Dulquer Salmaan,Mithila Palkar
12679,282,2018,Seeking Happily Ever After,104 min,"Drama, Romance",6.8,1117,Harish Vyas,Shivani Raghuvanshi,Anshuman Jha,Ekavali Khanna
13080,283,2018,Shohrat the Trap,67 min,Thriller,5.2,101,Deepak Ramteke,Mayank Agarwal,Avinash Baviskar,Anil Bhavnani
10647,284,2018,Pataakha,134 min,"Action, Comedy, Drama",7.2,3824,Vishal Bhardwaj,Sanya Malhotra,Radhika Madan,Sunil Grover
8386,285,2018,Lust Stories,120 min,"Drama, Romance",6.4,10011,Zoya Akhtar,Dibakar Banerjee,Karan Johar,Anurag Kashyap
12572,286,2018,Satyameva Jayate,140 min,"Action, Crime, Drama",5.7,6302,Milap Zaveri,John Abraham,Manoj Bajpayee,Aisha Sharma
8343,287,2018,Love Sonia,122 min,Drama,7.4,1570,Tabrez Noorani,Abhishek Bharate,Riya Sisodiya,Mrunal Thakur
1019,288,2018,Andhadhun,139 min,"Crime, Drama, Music",8.2,77901,Sriram Raghavan,Ayushmann Khurrana,Tabu,Radhika Apte
9407,289,2018,Mitron,119 min,Comedy,6.9,2334,Nitin Kakkar,Jackky Bhagnani,Kritika Kamra,Prateik
6345,290,2018,Jack & Dil,98 min,"Comedy, Family",7.5,715,Sachin P. Karande,Amit Sadh,Arbaaz Khan,Sonal Chauhan
9388,291,2018,Missing,120 min,"Drama, Mystery, Thriller",5.8,2074,Mukul Abhyankar,Manoj Bajpayee,Tabu,Annu Kapoor
4783,292,2018,FryDay,114 min,"Comedy, Drama",5.2,783,Abhishek Dogra,Govinda,Digangana Suryavanshi,Varun Sharma
9347,293,2017,Mirror Game,113 min,"Crime, Mystery, Thriller",6.1,222,Vijit Sharma,Parvin Dabas,Dhruv Bali,Pooja Batra
14116,294,2017,The Hungry,100 min,Drama,7.2,894,Bornila Chatterjee,Naseeruddin Shah,Tisca Chopra,Neeraj Kabi
9289,295,2017,Meri Pyaari Bindu,117 min,"Comedy, Drama, Romance",6,4495,Akshay Roy,Ayushmann Khurrana,Parineeti Chopra,Aarnaa Sharma
14839,296,2017,Viceroy's House,106 min,"Biography, Drama, History",6.7,7117,Gurinder Chadha,Hugh Bonneville,Gillian Anderson,Manish Dayal
12681,297,2017,Seeking True Love,116 min,"Comedy, Romance",7.5,20275,Ashwiny Iyer Tiwari,Ayushmann Khurrana,Kriti Sanon,Rajkummar Rao
5234,298,2017,Guest iin London,132 min,Comedy,5.4,1770,Ashwani Dhir,Kartik Aaryan,Kriti Kharbanda,Paresh Rawal
850,299,2017,Alif,120 min,Drama,6.5,137,Zaigham Imam,Neelima Azim,Pawan Tiwari,Bhavna Pani
12044,300,2017,Running Shaadi,114 min,"Comedy, Romance",6.6,2440,Amit Roy,Arsh Bajwa,Taapsee Pannu,Richa Meena
2371,301,2017,Bioscopewala,91 min,Drama,7.6,882,Deb Medhekar,Danny Denzongpa,Geetanjali Thapa,Adil Hussain
3753,302,2017,Dhh,128 min,"Drama, Family",7.8,235,Manish Saini,Naseeruddin Shah,Kahaan,Karan Patel
14347,303,2017,Tikli and Laxmi Bomb,151 min,Drama,7.9,1785,Aditya Kripalani,Chitrangada Chakraborty,Vibhawari Deshpande,Saharsh Kumar Shukla
4789,304,2017,Fukrey Returns,141 min,Comedy,6.5,4890,Mrighdeep Lamba,Pulkit Samrat,Varun Sharma,Ali Fazal
12728,305,2017,Shaadi Mein Zaroor Aana,137 min,"Drama, Romance",7.6,13387,Ratnaa Sinha,Rajkummar Rao,Kriti Kharbanda,K.K. Raina
14531,306,2017,Tumhari Sulu,150 min,"Comedy, Drama",7,4761,Suresh Triveni,Vidya Balan,Manav Kaul,Neha Dhupia
11387,307,2017,Raag Desh,135 min,"Action, Drama, History",8.1,376,Tigmanshu Dhulia,Kunal Kapoor,Amit Sadh,Mohit Marwah
7076,308,2017,Kadamban,142 min,"Action, Adventure, Drama",5.3,417,N. Ragavan,Arya,Catherine Tresa,Deepraj Rana
10931,309,2017,Poorna,100 min,"Action, Adventure, Biography",7.8,1343,Rahul Bose,Prashant Pandey,Aditi Inamdar,Rahul Bose
14377,310,2017,Toilet: A Love Story,155 min,"Comedy, Drama",7.2,18889,Shree Narayan Singh,Anupam Kher,Akshay Kumar,Bhumi Pednekar
1654,311,2017,Badrinath Ki Dulhania,139 min,"Comedy, Drama, Romance",6.1,10865,Shashank Khaitan,Varun Dhawan,Alia Bhatt,Sahil Vaid
11384,312,2017,Raabta,147 min,"Action, Drama, Fantasy",5.1,6311,Dinesh Vijan,Deepika Padukone,Sushant Singh Rajput,Rajkummar Rao
8302,313,2017,Love and Shukla,107 min,"Comedy, Drama, Romance",7.4,828,Jatla Siddartha,Saharsh Kumar Shukla,Taneea Rajawat,Hima Singh
14812,314,2017,Veeram,100 min,"Action, Drama, History",6.4,222,Jayaraaj,Kunal Kapoor,Himarsha Venkatsamy,Aaran
14077,315,2017,The Ghazi Attack,116 min,"Action, Thriller, War",7.6,12367,Sankalp Reddy,Rana Daggubati,Kay Kay Menon,Atul Kulkarni
9480,316,2017,Mom,146 min,"Crime, Drama, Thriller",7.3,9395,Ravi Udyawar,Sridevi,Sajal Ali,Akshaye Khanna
